name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Barbaro Garbey,R,70,170,0.267,11,1,515,,,
John Milner,L,72,185,0.249,131,1,516,,,
Rich Reese,L,75,185,0.253,52,1,517,,,
Chris Bando,B,72,195,0.227,27,1,518,,,
Bill Buckner,L,72,185,0.289,174,1,519,,,
Jack Hiatt,R,74,190,0.251,22,1,520,,,
Nelson Mathews,R,76,195,0.223,22,1,521,,,
Larry Lintz,B,69,150,0.227,0,1,522,,,
Ron Theobald,R,68,165,0.248,2,1,523,,,
Dewey Robinson,R,72,180,0,0,1,524,,,
Rafael Santana,R,73,165,0.246,13,1,525,,,
Jerry Hairston,B,70,170,0.258,30,1,526,,,
Tony Arnold,R,71,170,0,0,1,527,,,
Jeff Schattinger,L,77,200,0,0,1,528,,,
Ike Brookens,R,77,170,0,0,1,529,,,
Tommie Aaron,R,75,190,0.229,13,1,530,,,
Steve Dillard,R,73,180,0.243,13,1,531,,,
Win Remmerswaal,R,74,160,0,0,1,532,,,
Jeff Peterek,R,74,195,0,0,1,533,,,
George Scott,R,74,200,0.268,271,1,534,,,
Jeff Shaver,R,75,195,0,0,1,535,,,
Ken Walters,R,73,180,0.231,11,1,536,,,
Gorman Thomas,R,74,210,0.225,268,1,537,,,
Paul Dade,R,73,185,0.27,10,1,538,,,
Darrell Porter,L,72,193,0.247,188,1,539,,,
Tim Johnson,L,73,170,0.223,0,1,540,,,
Fred Stanley,R,70,165,0.216,10,1,541,,,
Larry Bowa,B,70,155,0.26,15,1,542,,,
Tim Corcoran,L,71,175,0.27,12,1,543,,,
Jim Spencer,L,74,195,0.25,146,1,544,,,
Pete LaCock,L,74,200,0.257,27,1,545,,,
Carl Morton,R,72,200,0.156,7,1,546,,,
Gary Gray,R,72,187,0.24,24,1,547,,,
Matty Alou,L,69,160,0.307,31,1,548,,,
Pete Filson,B,74,195,0,0,1,549,,,
Jim Dwyer,L,70,165,0.26,77,1,550,,,
Dalton Jones,L,73,180,0.235,41,1,551,,,
Rennie Stennett,R,71,160,0.274,41,1,552,,,
Jim Gideon,R,75,190,0,0,1,553,,,
Jerry May,R,74,190,0.234,15,1,554,,,
Rich McKinney,R,71,185,0.225,20,1,555,,,
Clint Hurdle,L,75,195,0.259,32,1,556,,,
Mike Andrews,R,75,195,0.258,66,1,557,,,
Bobby Clark,R,72,190,0.239,19,1,558,,,
Jeff Twitty,L,74,185,0,0,1,559,,,
Cliff Johnson,R,76,215,0.258,196,1,560,,,
Steve Cummings,B,74,200,0,0,1,561,,,
Donn Clendenon,R,76,209,0.274,159,1,562,,,
Charlie James,R,73,195,0.255,29,1,563,,,
Bob Horner,R,73,195,0.277,218,1,564,,,
Tom Veryzer,R,73,175,0.241,14,1,565,,,
Jose Cecena,R,71,180,0,0,1,566,,,
George Smith,R,70,170,0.205,9,1,567,,,
Jim Essian,R,74,195,0.244,33,1,568,,,
Onix Concepcion,R,66,160,0.239,3,1,569,,,
Boots Day,L,69,160,0.256,8,1,570,,,
Brian Giles,R,73,165,0.228,10,1,571,,,
Garry Maddox,R,75,175,0.285,117,1,572,,,
Alex Trevino,R,70,165,0.249,23,1,573,,,
Jim Price,R,72,192,0.214,18,1,574,,,
Felix Millan,R,71,172,0.279,22,1,575,,,
Steve Garvey,R,70,192,0.294,272,1,576,,,
Don Mincher,L,75,205,0.249,200,1,577,,,
Greg Erardi,R,73,190,0,0,1,578,,,
Jim Farr,R,73,195,0,0,1,579,,,
Tony Cloninger,R,72,210,0.192,11,1,580,,,
Jim Gosger,L,71,185,0.226,30,1,581,,,
Chuck Harrison,R,70,185,0.238,17,1,582,,,
Mike Ivie,R,75,205,0.269,81,1,583,,,
Frank Dimichele,R,75,205,0,0,1,584,,,
Bob Veale,B,78,212,0.114,0,1,585,,,
Marvell Wynne,L,71,175,0.247,40,1,586,,,
Dusty Baker,R,74,183,0.278,242,1,587,,,
Tucker Ashford,R,73,195,0.218,6,1,588,,,
Ned Yost,R,73,190,0.212,16,1,589,,,
Bob Stinson,B,71,180,0.25,33,1,590,,,
Mike Warren,R,73,175,0,0,1,591,,,
Gaylord Perry,R,76,205,0.131,6,1,592,,,
Dave Marshall,L,73,182,0.246,16,1,593,,,
Mickey Hatcher,R,74,200,0.28,38,1,594,,,
Roger Repoz,L,75,190,0.224,82,1,595,,,
Bill Fulton,R,75,195,0,0,1,596,,,
John Orsino,R,75,215,0.249,40,1,597,,,
Larry Anderson,R,75,190,0,0,1,598,,,
Johnny Briggs,L,73,190,0.253,139,1,599,,,
Craig Mitchell,R,75,180,0,0,1,600,,,
Dave Hostetler,R,76,215,0.229,37,1,601,,,
Bob Jones,L,74,195,0.221,20,1,602,,,
Keith Hernandez,L,72,180,0.296,162,1,603,,,
Alfredo Martinez,R,75,185,0,0,1,604,,,
Dean Chance,R,75,200,0.066,0,1,605,,,
Willie Upshaw,L,72,185,0.262,123,1,606,,,
Dick Green,R,70,180,0.24,80,1,607,,,
Dane Iorg,L,72,180,0.276,14,1,608,,,
Richie Hebner,L,73,195,0.276,203,1,609,,,
Fran Healy,R,77,220,0.25,20,1,610,,,
Doc Edwards,R,74,215,0.238,15,1,611,,,
Sandy Alomar,B,69,140,0.245,13,1,612,,,
Joe Strain,R,70,169,0.25,1,1,613,,,
Gene Richards,L,72,175,0.29,26,1,614,,,
Buddy Bell,R,73,180,0.279,201,1,615,,,
Al Woods,L,75,190,0.271,35,1,616,,,
Rudy Law,L,73,165,0.271,18,1,617,,,
Joel Davis,L,77,205,0,0,1,618,,,
Jody Davis,R,76,192,0.245,127,1,619,,,
Mike Edwards,R,70,154,0.25,2,1,620,,,
Bill Mooneyham,R,72,175,0,0,1,621,,,
John Hobbs,R,75,190,0,0,1,622,,,
Deron Johnson,R,74,200,0.244,245,1,623,,,
John Denny,R,75,185,0.17,0,1,624,,,
Don Wert,R,70,162,0.242,77,1,625,,,
Mike Fiore,L,72,175,0.227,13,1,626,,,
Miguel Dilone,B,72,160,0.265,6,1,627,,,
Greg Luzinski,R,73,220,0.276,307,1,628,,,
Bobby Tolan,L,71,170,0.265,86,1,629,,,
Karl Best,R,76,190,0,0,1,630,,,
Steve Barr,L,76,200,0,0,1,631,,,
Ron Woods,R,70,168,0.233,26,1,632,,,
Tony Horton,R,75,210,0.268,76,1,633,,,
Randy Hundley,R,71,170,0.236,82,1,634,,,
Jose Tartabull,L,71,165,0.261,2,1,635,,,
Ben Oglivie,L,74,160,0.273,235,1,636,,,
Luis Sanchez,R,74,170,0,0,1,637,,,
Bob Johnson,R,70,175,0.272,44,1,638,,,
Don Buford,B,67,160,0.264,93,1,639,,,
Duane Kuiper,L,72,175,0.271,1,1,640,,,
Brant Alyea,R,75,215,0.247,38,1,641,,,
Jerry Narron,L,75,205,0.211,21,1,642,,,
Lou Johnson,R,71,170,0.258,48,1,643,,,
Ken Retzer,L,72,185,0.264,14,1,644,,,
Mike Brown,R,74,195,0.265,23,1,645,,,
Mike Brown,R,74,195,0,0,1,646,,,
Greg Walker,L,75,205,0.26,113,1,647,,,
Terry Harper,R,76,195,0.253,36,1,648,,,
Jerry Royster,R,72,165,0.249,40,1,649,,,
Steve Davis,L,73,195,0,0,1,650,,,
Jeff Rineer,L,76,205,0,0,1,651,,,
Barry Bonnell,R,75,190,0.272,56,1,652,,,
Tom Seaver,R,73,195,0.154,12,1,653,,,
Jerry Martin,R,73,195,0.251,85,1,654,,,
Bill Stein,R,70,170,0.267,44,1,655,,,
Joel Youngblood,R,72,180,0.265,80,1,656,,,
Reggie Jackson,L,72,195,0.262,563,1,657,,,
Sonny Jackson,L,69,150,0.251,7,1,658,,,
Mark Mercer,L,77,220,0,0,1,659,,,
Rodney Scott,B,72,160,0.236,3,1,660,,,
Rich Coggins,L,68,170,0.265,12,1,661,,,
Phil Gagliano,R,73,180,0.238,14,1,662,,,
Jerry McNertney,R,72,180,0.237,27,1,663,,,
Mitchell Page,L,74,205,0.266,72,1,664,,,
Kiko Garcia,R,71,180,0.239,12,1,665,,,
Larry Milbourne,B,72,161,0.254,11,1,666,,,
Bill Sudakis,B,73,190,0.234,59,1,667,,,
John Caneira,R,75,180,0,0,1,668,,,
Domingo Ramos,R,70,154,0.24,8,1,669,,,
Ron Oester,B,74,185,0.265,42,1,670,,,
Glenn Adams,L,73,180,0.28,34,1,671,,,
Clint Zavaras,R,73,175,0,0,1,672,,,
Joe Morgan,L,67,160,0.271,268,1,673,,,
R.J. Reynolds,B,72,190,0.267,35,1,674,,,
Mike Parrott,R,76,210,0,0,1,675,,,
Lee Thomas,L,74,195,0.255,106,1,676,,,
Ray Fosse,R,74,215,0.256,61,1,677,,,
Paul Popovich,B,72,175,0.233,14,1,678,,,
John Stephenson,L,71,180,0.216,12,1,679,,,
Doug Clemens,L,72,180,0.229,12,1,680,,,
Luis Aponte,R,72,185,0,0,1,681,,,
Orlando Mercado,R,72,180,0.199,7,1,682,,,
Charley Smith,R,73,170,0.239,69,1,683,,,
Paul Boris,R,74,200,0,0,1,684,,,
Buddy Biancalana,B,71,160,0.205,6,1,685,,,
De Wayne Buice,R,72,170,0,0,1,686,,,
Bob Uecker,R,73,190,0.2,14,1,687,,,
Felix Torres,R,71,165,0.254,27,1,688,,,
Steve Braun,L,70,180,0.271,52,1,689,,,
Ray Knight,R,73,185,0.271,84,1,690,,,
Ty Cline,L,72,170,0.238,6,1,691,,,
Thad Bosley,L,75,175,0.272,20,1,692,,,
Bobby Grich,R,74,180,0.266,224,1,693,,,
Jimmie Hall,L,72,175,0.254,121,1,694,,,
John Boccabella,R,73,195,0.219,26,1,695,,,
Brock Davis,L,70,160,0.26,1,1,696,,,
Mark Esser,R,73,190,0,0,1,697,,,
Curt Blefary,L,74,195,0.237,112,1,698,,,
Daryl Smith,R,76,185,0,0,1,699,,,
Dave Smith,R,73,190,0,0,1,700,,,
Mack Jones,L,73,180,0.252,133,1,701,,,
Buddy Bradford,R,71,170,0.226,52,1,702,,,
Hosken Powell,L,73,175,0.259,17,1,703,,,
Dave Stapleton,L,73,185,0,0,1,704,,,
Dave Stapleton,R,73,178,0.271,41,1,705,,,
Gary Ward,R,74,195,0.276,130,1,706,,,
Jim Lonborg,R,77,200,0.136,3,1,707,,,
Joe Lis,R,72,175,0.233,32,1,708,,,
Dan Meyer,L,71,180,0.253,86,1,709,,,
Jim Holt,L,72,180,0.265,19,1,710,,,
Tom Klawitter,R,74,190,0,0,1,711,,,
Larry Herndon,R,75,190,0.274,107,1,712,,,
Gary Christenson,L,77,200,0,0,1,713,,,
Jim Wright,R,77,205,0,0,1,714,,,
Jim Wright,R,73,165,0,0,1,715,,,
Wallace Johnson,B,72,173,0.255,5,1,716,,,
Mike Kinnunen,L,73,185,0,0,1,717,,,
Eddie Leon,R,72,170,0.236,24,1,718,,,
Dave Rajsich,L,77,175,0,0,1,719,,,
Jim Wohlford,R,71,175,0.26,21,1,720,,,
J.R. Richard,R,80,222,0.168,10,1,721,,,
Bill Voss,L,74,160,0.227,19,1,722,,,
Keith Moreland,R,72,190,0.279,121,1,723,,,
Ramon Pena,R,70,155,0,0,1,724,,,
Alex Johnson,R,72,205,0.288,78,1,725,,,
Wayne Krenchicki,L,73,180,0.266,15,1,726,,,
Chico Escarrega,R,71,185,0,0,1,727,,,
Dave Rosello,R,71,160,0.236,10,1,728,,,
Cardell Camper,R,75,208,0,0,1,729,,,
Paul Schaal,R,71,165,0.244,57,1,730,,,
Tito Landrum,R,71,175,0.249,13,1,731,,,
Dave Edwards,R,72,170,0.237,14,1,732,,,
Mario Guerrero,R,70,155,0.257,7,1,733,,,
Tom Tresh,B,73,180,0.245,153,1,734,,,
Mike Overy,R,74,190,0,0,1,735,,,
Ron Roenicke,B,72,180,0.238,17,1,736,,,
Doug Griffin,R,72,160,0.245,7,1,737,,,
Steve Blass,R,72,165,0.172,1,1,738,,,
Johnnie LeMaster,R,74,165,0.222,22,1,739,,,
Craig Chamberlain,R,73,190,0,0,1,740,,,
Nate Oliver,R,70,160,0.226,2,1,741,,,
Ray Sadecki,L,71,180,0.191,5,1,742,,,
Ken Rudolph,R,73,180,0.213,6,1,743,,,
Wayne Nordhagen,R,74,205,0.282,39,1,744,,,
Biff Pocoroba,B,70,175,0.257,21,1,745,,,
Len Matuszek,L,74,190,0.234,30,1,746,,,
Frank Eufemia,R,71,185,0,0,1,747,,,
Joe Lefebvre,L,70,170,0.258,31,1,748,,,
Jim Maloney,L,74,190,0.201,7,1,749,,,
Andre Robertson,R,70,155,0.251,5,1,750,,,
Jerry Zimmerman,R,74,185,0.204,3,1,751,,,
Jack Lazorko,R,71,200,0,0,1,752,,,
Mike Paxton,R,71,190,0,0,1,753,,,
Chet Lemon,R,72,190,0.273,215,1,754,,,
Rickey Keeton,R,74,190,0,0,1,755,,,
Phil Mankowski,L,72,180,0.264,8,1,756,,,
Cleon Jones,R,72,185,0.281,93,1,757,,,
Joaquin Andujar,B,72,170,0.127,5,1,758,,,
Mike Lum,L,72,180,0.247,90,1,759,,,
Johnny Grubb,L,75,175,0.278,99,1,760,,,
Curt Motton,R,68,164,0.213,25,1,761,,,
Johnny Bench,R,73,197,0.267,389,1,762,,,
Dale Berra,R,72,180,0.236,49,1,763,,,
Terry Felton,R,73,180,0,0,1,764,,,
Bob Meacham,B,73,175,0.236,8,1,765,,,
Mark Clear,R,76,200,0,0,1,766,,,
Carl Warwick,R,70,170,0.248,31,1,767,,,
Sam Bowens,R,73,188,0.223,45,1,768,,,
George Wright,B,71,180,0.245,42,1,769,,,
Luis Aguayo,R,69,173,0.236,37,1,770,,,
Hal Lanier,R,74,180,0.228,8,1,771,,,
Mike Pazik,L,74,195,0,0,1,772,,,
Len Randle,B,70,169,0.257,27,1,773,,,
Greg Pryor,R,72,180,0.25,14,1,774,,,
Jim Traber,L,72,194,0.227,27,1,775,,,
Dave Nelson,R,70,160,0.244,20,1,776,,,
Lynn Jones,R,69,175,0.252,7,1,777,,,
Bryan Little,B,70,160,0.245,3,1,778,,,
Ken Suarez,R,69,175,0.227,5,1,779,,,
Rick Peters,B,69,170,0.277,2,1,780,,,
Ron Stone,L,74,185,0.241,6,1,781,,,
Rich Barnes,R,76,186,0,0,1,782,,,
Tommie Agee,R,71,195,0.255,130,1,783,,,
Bob Bailey,R,73,180,0.257,189,1,784,,,
Cap Peterson,R,74,195,0.23,19,1,785,,,
Ted Uhlaender,L,74,190,0.263,36,1,786,,,
Ted Simmons,B,71,193,0.285,248,1,787,,,
Bobby Murcer,L,71,160,0.277,252,1,788,,,
Dick Tracewski,R,71,160,0.213,8,1,789,,,
Dave Frost,R,78,235,0,0,1,790,,,
Mark Souza,L,72,180,0,0,1,791,,,
Bill Nahorodny,R,74,200,0.241,25,1,792,,,
Bill Madlock,R,71,180,0.305,163,1,793,,,
Bob Boone,R,74,195,0.254,105,1,794,,,
Rick Jones,L,77,190,0,0,1,795,,,
Steve Kemp,L,72,195,0.278,130,1,796,,,
Rick Burleson,R,70,165,0.273,50,1,797,,,
Jim Dorsey,R,79,190,0,0,1,798,,,
Mark Ciardi,R,72,180,0,0,1,799,,,
Dennis Burtt,R,72,180,0,0,1,800,,,
Carl Taylor,R,74,200,0.266,10,1,801,,,
Terry Harmon,R,74,180,0.233,4,1,802,,,
Mike Hargrove,L,72,195,0.29,80,1,803,,,
Rich Yett,R,74,187,0,0,1,804,,,
Steve Hovley,L,70,188,0.258,8,1,805,,,
Don Leppert,R,74,220,0.229,15,1,806,,,
Matt Williams,R,73,200,0,0,1,807,,,
Jim Burton,R,75,195,0,0,1,808,,,
Rick Anderson,R,74,210,0,0,1,809,,,
Charlie Mitchell,R,75,170,0,0,1,810,,,
Bill Paschall,R,72,175,0,0,1,811,,,
John Bohnet,B,72,175,0,0,1,812,,,
Byron McLaughlin,R,73,175,0,0,1,813,,,
Lee May,R,75,195,0.267,354,1,814,,,
Luis Quintana,L,74,175,0,0,1,815,,,
Sam McDowell,L,77,190,0.154,2,1,816,,,
Rick Renick,R,72,188,0.221,20,1,817,,,
Jeff Torborg,R,72,195,0.214,8,1,818,,,
Dave Campbell,R,73,180,0.213,20,1,819,,,
Pat Kelly,L,73,185,0.264,76,1,820,,,
Al Weis,B,72,160,0.219,7,1,821,,,
Jerry Turner,L,69,180,0.257,45,1,822,,,
Rick Auerbach,R,72,165,0.22,9,1,823,,,
Keith Macwhorter,R,76,190,0,0,1,824,,,
Don Wilson,R,74,195,0.146,1,1,825,,,
Jaime Cocanower,R,76,200,0,0,1,826,,,
Jeff Sellers,R,73,175,0,0,1,827,,,
Sandy Valdespino,L,68,170,0.23,7,1,828,,,
Steve Senteney,R,74,205,0,0,1,829,,,
Howard Bailey,R,72,195,0,0,1,830,,,
Jeff Bettendorf,R,75,180,0,0,1,831,,,
Ken Phelps,L,73,209,0.239,123,1,832,,,
Cesar Cedeno,R,74,175,0.285,199,1,833,,,
Bob Davidson,R,72,185,0,0,1,834,,,
Phil Linz,R,73,180,0.235,11,1,835,,,
Manny Mota,R,70,160,0.304,31,1,836,,,
Brian Snyder,L,75,185,0,0,1,837,,,
Steve Renko,R,77,230,0.215,6,1,838,,,
Rick Sofield,L,73,195,0.243,9,1,839,,,
Carlos Velazquez,R,71,180,0,0,1,840,,,
Roger Miller,R,75,200,0,0,1,841,,,
Doug DeCinces,R,74,190,0.259,237,1,842,,,
John Castino,R,71,175,0.278,41,1,843,,,
Dave May,L,70,186,0.251,96,1,844,,,
Ron Washington,R,71,155,0.261,20,1,845,,,
Billy Grabarkewitz,R,70,165,0.236,28,1,846,,,
Willie Aikens,L,75,220,0.271,110,1,847,,,
Earl Williams,R,75,215,0.247,138,1,848,,,
Willie Mueller,R,76,220,0,0,1,849,,,
John Flinn,R,72,175,0,0,1,850,,,
Don Hahn,R,73,180,0.236,7,1,851,,,
Todd Cruz,R,72,175,0.22,34,1,852,,,
Tom Egan,R,76,218,0.2,22,1,853,,,
Bob Heise,R,72,175,0.247,1,1,854,,,
Tommy Harper,R,69,165,0.257,146,1,855,,,
Joe Wallis,B,71,180,0.244,16,1,856,,,
Max Alvis,R,71,185,0.247,111,1,857,,,
Rico Carty,R,75,200,0.299,204,1,858,,,
Mike Cubbage,L,72,180,0.258,34,1,859,,,
Les Straker,R,73,193,0,0,1,860,,,
Merritt Ranew,L,71,170,0.247,8,1,861,,,
Lyman Bostock,L,73,180,0.311,23,1,862,,,
Damaso Garcia,R,73,165,0.283,36,1,863,,,
Don Kainer,R,75,205,0,0,1,864,,,
Don Gordon,R,73,175,0,0,1,865,,,
Roy Howell,L,73,190,0.261,80,1,866,,,
Boog Powell,L,76,230,0.266,339,1,867,,,
Sandy Wihtol,R,73,195,0,0,1,868,,,
Sonny Siebert,R,75,190,0.173,12,1,869,,,
Jeff Richardson,R,75,185,0,0,1,870,,,
Bobby Darwin,R,74,190,0.251,83,1,871,,,
Dennis DeBarr,L,74,190,0,0,1,872,,,
Dan Driessen,L,71,187,0.267,153,1,873,,,
Bruce Miller,R,73,185,0.246,1,1,874,,,
Bob Bailor,R,71,170,0.264,9,1,875,,,
Tommy Helms,R,70,165,0.269,34,1,876,,,
Tony Armas,R,71,182,0.252,251,1,877,,,
Willie Horton,R,71,209,0.273,325,1,878,,,
Lou Piniella,R,72,182,0.291,102,1,879,,,
Butch Hobson,R,73,193,0.248,98,1,880,,,
John Wathan,R,74,205,0.262,21,1,881,,,
Hal King,L,73,200,0.214,24,1,882,,,
Mike Krukow,R,77,205,0.193,5,1,883,,,
Andres Mora,R,72,180,0.223,27,1,884,,,
Barry Foote,R,75,205,0.23,57,1,885,,,
Ed Ott,L,70,190,0.259,33,1,886,,,
Alan Wiggins,B,74,160,0.259,5,1,887,,,
Ron Clark,R,70,175,0.189,5,1,888,,,
Jay Pettibone,R,76,182,0,0,1,889,,,
Glen Cook,R,71,180,0,0,1,890,,,
Julio Gotay,R,72,180,0.26,6,1,891,,,
Gary Alexander,R,74,195,0.23,55,1,892,,,
Andre Thornton,R,75,200,0.254,253,1,893,,,
Bob Oliver,R,75,205,0.256,94,1,894,,,
Bill Castro,R,71,170,0,0,1,895,,,
Ed Hodge,L,74,192,0,0,1,896,,,
Tom Buskey,R,75,200,0,0,1,897,,,
Bruce Taylor,R,72,178,0,0,1,898,,,
Stan Thomas,R,74,185,0,0,1,899,,,
Bob Robertson,R,73,195,0.242,115,1,900,,,
Larry Monroe,R,76,200,0,0,1,901,,,
Roger Slagle,R,75,190,0,0,1,902,,,
Ollie Brown,R,74,178,0.265,102,1,903,,,
Jim Campbell,L,71,175,0,0,1,904,,,
Frank Quilici,R,73,170,0.214,5,1,905,,,
Curt Kaufman,R,74,175,0,0,1,906,,,
Joe Pepitone,L,74,185,0.258,219,1,907,,,
Steve Barber,L,72,195,0.115,5,1,908,,,
De Wayne Vaughn,R,71,180,0,0,1,909,,,
Norm Miller,L,70,185,0.238,24,1,910,,,
Bob Galasso,L,73,205,0,0,1,911,,,
Rich Wortham,R,72,185,0,0,1,912,,,
Bob Chance,L,74,196,0.261,24,1,913,,,
Julio Cruz,B,69,165,0.237,23,1,914,,,
Bill Sample,R,69,175,0.272,46,1,915,,,
Juan Nieves,L,75,175,0,0,1,916,,,
Mike Bacsik,R,74,180,0,0,1,917,,,
Craig Kusick,R,75,210,0.235,46,1,918,,,
Rudy Meoli,L,69,165,0.212,2,1,919,,,
Ruppert Jones,L,70,170,0.25,147,1,920,,,
Glenn Hoffman,R,73,175,0.242,23,1,921,,,
Russ Gibson,R,73,195,0.228,8,1,922,,,
Phil Huffman,R,74,180,0,0,1,923,,,
Terry Francona,L,73,190,0.274,16,1,924,,,
John Bateman,R,75,210,0.23,81,1,925,,,
Luis Pujols,R,74,175,0.193,6,1,926,,,
Joe Gaines,R,73,190,0.241,21,1,927,,,
Doug Rader,R,74,208,0.251,155,1,928,,,
Mickey Stanley,R,73,185,0.248,117,1,929,,,
Steve Brown,R,77,200,0,0,1,930,,,
Rick Lysander,R,74,190,0,0,1,931,,,
Phil Bradley,R,72,185,0.286,78,1,932,,,
Winston Llenas,R,70,165,0.23,3,1,933,,,
Charlie Moore,R,71,180,0.261,36,1,934,,,
Ralph Garr,L,71,185,0.306,75,1,935,,,
Tommy John,R,75,180,0.157,5,1,936,,,
Bruce Benedict,R,73,175,0.242,18,1,937,,,
John Ellis,R,74,225,0.262,69,1,938,,,
Wes Parker,B,73,180,0.267,64,1,939,,,
Mel Stottlemyre,R,72,190,0,0,1,940,,,
David Green,R,75,170,0.268,31,1,941,,,
Reid Nichols,R,71,165,0.266,22,1,942,,,
Rick Reichardt,R,75,210,0.261,116,1,943,,,
Luis Tiant,R,72,180,0.164,5,1,944,,,
Alex Sanchez,R,74,185,0,0,1,945,,,
Broderick Perkins,L,70,180,0.271,8,1,946,,,
Leon Roberts,R,75,200,0.267,78,1,947,,,
Ray Burris,R,77,200,0.151,1,1,948,,,
Len Gabrielson,L,76,210,0.253,37,1,949,,,
Johnny Edwards,L,76,220,0.242,81,1,950,,,
Paul Wilmet,R,71,170,0,0,1,951,,,
Tom Grieve,R,74,190,0.249,65,1,952,,,
Bruce Ellingsen,L,72,180,0,0,1,953,,,
Bob Forsch,R,76,200,0.213,12,1,954,,,
Gorman Heimueller,L,76,195,0,0,1,955,,,
Danny Cater,R,72,170,0.276,66,1,956,,,
Bill Schroeder,R,74,200,0.24,61,1,957,,,
Clay Dalrymple,L,72,190,0.233,55,1,958,,,
Carlos May,L,71,200,0.274,90,1,959,,,
Reggie Smith,B,72,180,0.287,314,1,960,,,
Ron Reed,R,78,215,0.158,0,1,961,,,
Fred Howard,R,75,190,0,0,1,962,,,
Davey Johnson,R,73,170,0.261,136,1,963,,,
Ellis Valentine,R,76,205,0.278,123,1,964,,,
Roy White,B,70,160,0.271,160,1,965,,,
Mike Brumley,L,70,195,0.229,5,1,966,,,
Al Luplow,L,70,175,0.235,33,1,967,,,
John Hoover,R,74,190,0,0,1,968,,,
Dick Allen,R,71,187,0.292,351,1,969,,,
Doug Ault,R,75,200,0.236,17,1,970,,,
Mark Wagner,R,72,165,0.243,3,1,971,,,
Mike Walters,R,77,203,0,0,1,972,,,
Willie Stargell,L,74,188,0.282,475,1,973,,,
Steve Carlton,L,76,210,0.201,13,1,974,,,
Jake Wood,R,73,163,0.25,35,1,975,,,
Del Unser,L,73,180,0.258,87,1,976,,,
Bob Brower,R,71,185,0.242,17,1,977,,,
Ray Culp,R,72,200,0.123,1,1,978,,,
Ivan Murrell,R,74,195,0.236,33,1,979,,,
Lee Mazzilli,B,73,180,0.259,93,1,980,,,
Garth Iorg,R,71,170,0.258,20,1,981,,,
Alan Ashby,B,74,185,0.245,90,1,982,,,
Bob Brenly,R,74,210,0.247,91,1,983,,,
Ron Blomberg,L,73,195,0.293,52,1,984,,,
Jim Rooker,R,72,195,0.201,7,1,985,,,
Tim Blackwell,B,71,170,0.228,6,1,986,,,
Colby Ward,R,74,185,0,0,1,987,,,
Jerry Morales,R,70,155,0.259,95,1,988,,,
Davey Lopes,R,69,170,0.263,155,1,989,,,
Catfish Hunter,R,72,190,0.226,6,1,990,,,
Mario Soto,R,72,174,0.132,1,1,991,,,
Jimmy Wynn,R,70,160,0.25,291,1,992,,,
Hank Allen,R,72,190,0.241,6,1,993,,,
Jim Fregosi,R,73,190,0.265,151,1,994,,,
Pepe Frias,R,70,159,0.24,1,1,995,,,
Mike Schmidt,R,74,195,0.267,548,1,996,,,
Willie Montanez,L,72,170,0.275,139,1,997,,,
Rey Quinones,R,71,160,0.243,29,1,998,,,
Mike Squires,L,71,185,0.26,6,1,999,,,
Champ Summers,L,74,205,0.255,54,1,1000,,,
Chuck Porter,R,75,187,0,0,1,1001,,,
Bert Campaneris,R,70,160,0.259,79,1,1002,,,
Bobby Valentine,R,70,189,0.26,12,1,1003,,,
Rob Andrews,R,72,185,0.251,3,1,1004,,,
Tom Haller,L,76,195,0.257,134,1,1005,,,
Tom Dozier,R,74,190,0,0,1,1006,,,
Ed Stroud,L,71,180,0.237,14,1,1007,,,
Ron Swoboda,R,74,195,0.242,73,1,1008,,,
Harry Spilman,L,73,180,0.237,18,1,1009,,,
Bob Barton,R,72,175,0.226,9,1,1010,,,
Daryl Sconiers,L,74,185,0.265,15,1,1011,,,
Joe Torre,R,74,212,0.297,252,1,1012,,,
Al Ferrara,R,73,200,0.259,51,1,1013,,,
Rick Steirer,R,76,200,0,0,1,1014,,,
Sixto Lezcano,R,70,165,0.271,148,1,1015,,,
Al Lachowicz,R,75,198,0,0,1,1016,,,
Dave Nicholson,R,74,215,0.212,61,1,1017,,,
Freddie Patek,R,65,148,0.242,41,1,1018,,,
Ken Hubbs,R,74,175,0.247,14,1,1019,,,
Pepe Mangual,R,70,157,0.242,16,1,1020,,,
Leron Lee,L,72,196,0.25,31,1,1021,,,
Tom McCarthy,R,72,180,0,0,1,1022,,,
Steve Ontiveros,B,72,185,0.274,24,1,1023,,,
Willie Davis,L,74,180,0.279,182,1,1024,,,
Tom Lawless,R,71,170,0.207,2,1,1025,,,
Jerry Moses,R,75,210,0.251,25,1,1026,,,
Bobby Bonds,R,73,190,0.268,332,1,1027,,,
Dave McNally,R,71,185,0.133,9,1,1028,,,
Darrell Brown,B,72,184,0.274,1,1,1029,,,
Roy Foster,R,72,185,0.253,45,1,1030,,,
Denis Menke,R,72,185,0.25,101,1,1031,,,
Hal Breeden,R,74,200,0.243,21,1,1032,,,
Manny Trillo,R,73,150,0.263,61,1,1033,,,
Jackie Gutierrez,R,71,175,0.237,4,1,1034,,,
Jerry Kenney,L,73,170,0.237,7,1,1035,,,
Fred Kendall,R,73,185,0.234,31,1,1036,,,
Mike Anderson,R,74,200,0.246,28,1,1037,,,
Jim Lewis,R,75,190,0,0,1,1038,,,
