name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Rico Petrocelli,R,72,175,0.251,210,1,122,,,
Johnny Lewis,L,73,189,0.227,22,1,123,,,
Dick Simpson,R,76,176,0.207,15,1,124,,,
Ken Boswell,L,72,170,0.248,31,1,125,,,
Ken McMullen,R,75,190,0.248,156,1,126,,,
Randy Scarbery,B,73,185,0,0,1,127,,,
Steve Swisher,R,74,205,0.216,20,1,128,,,
Ben Callahan,R,79,230,0,0,1,129,,,
Dick Howser,R,68,155,0.248,16,1,130,,,
Manny Castillo,B,69,160,0.242,3,1,131,,,
Mike Ramsey,B,73,170,0.24,2,1,132,,,
Willie Crawford,L,73,197,0.268,86,1,133,,,
Bobby Cuellar,R,71,188,0,0,1,134,,,
Willie Norwood,R,72,185,0.242,18,1,135,,,
Mike Jones,L,78,215,0,0,1,136,,,
Jeff Stone,L,72,175,0.277,11,1,137,,,
Ramon Manon,R,72,150,0,0,1,138,,,
Joe Lahoud,L,73,198,0.223,65,1,139,,,
Tim Flannery,L,71,175,0.255,9,1,140,,,
Dave McKay,B,73,195,0.229,21,1,141,,,
John Trautwein,R,75,205,0,0,1,142,,,
Andy Replogle,R,77,205,0,0,1,143,,,
Zach Crouch,L,75,180,0,0,1,144,,,
Benny Ayala,R,73,185,0.251,38,1,145,,,
Ron Romanick,R,76,195,0,0,1,146,,,
Greg Gross,L,70,160,0.287,7,1,147,,,
Bruce Tanner,L,75,220,0,0,1,148,,,
Sal Butera,R,72,190,0.227,8,1,149,,,
Jack Brohamer,L,70,165,0.245,30,1,150,,,
Von Joshua,L,70,170,0.273,30,1,151,,,
Eddie Milner,L,71,173,0.253,42,1,152,,,
Johnny Jeter,R,73,180,0.244,18,1,153,,,
Angel Salazar,R,72,180,0.212,2,1,154,,,
Tony Oliva,L,73,175,0.304,220,1,155,,,
Cito Gaston,R,75,190,0.256,91,1,156,,,
Cookie Rojas,R,70,160,0.263,54,1,157,,,
Rich Morales,R,71,170,0.195,6,1,158,,,
Dave Ford,R,76,190,0,0,1,159,,,
Dan Ford,R,73,185,0.27,121,1,160,,,
Barry Raziano,B,70,175,0,0,1,161,,,
Darryl Motley,R,69,196,0.243,44,1,162,,,
Ozzie Virgil,R,73,180,0.243,98,1,163,,,
Johnny Oates,L,71,188,0.25,14,1,164,,,
Pat Underwood,L,72,175,0,0,1,165,,,
Mike Phillips,L,72,170,0.24,11,1,166,,,
Ron Santo,R,72,190,0.277,342,1,167,,,
Jay Johnstone,L,73,175,0.267,102,1,168,,,
Jim Ray Hart,R,71,185,0.278,170,1,169,,,
Marc Hill,R,75,205,0.223,34,1,170,,,
Joel McKeon,L,72,185,0,0,1,171,,,
Danny Fife,R,75,175,0,0,1,172,,,
Chico Salmon,R,70,160,0.249,31,1,173,,,
Joe Niekro,R,73,185,0.156,1,1,174,,,
Andy Etchebarren,R,73,190,0.235,49,1,175,,,
Ken Berry,R,72,175,0.255,58,1,176,,,
Dave Concepcion,R,74,155,0.267,101,1,177,,,
Junior Moore,R,71,185,0.264,7,1,178,,,
Mike Richardt,R,72,170,0.226,4,1,179,,,
Chris Brown,R,72,185,0.269,38,1,180,,,
Al Bumbry,L,68,170,0.281,54,1,181,,,
Al Downing,R,71,175,0.127,2,1,182,,,
Bob Didier,B,72,190,0.229,0,1,183,,,
Jake Gibbs,L,72,180,0.233,25,1,184,,,
Garry Hancock,L,72,175,0.247,12,1,185,,,
Ed Kranepool,L,75,205,0.261,118,1,186,,,
Rick Rhoden,R,75,195,0.238,9,1,187,,,
Denny McLain,R,73,185,0.133,1,1,188,,,
Chuck Hiller,L,71,170,0.243,20,1,189,,,
Jorge Orta,L,70,170,0.278,130,1,190,,,
Dave Cash,R,71,170,0.283,21,1,191,,,
Bucky Dent,R,69,170,0.247,40,1,192,,,
Andy Beene,R,75,205,0,0,1,193,,,
Bruce Robbins,L,73,190,0,0,1,194,,,
Tony Gonzalez,L,69,170,0.286,103,1,195,,,
Leon Hooten,R,71,180,0,0,1,196,,,
Larry Haney,R,74,195,0.215,12,1,197,,,
Billy Conigliaro,R,72,180,0.256,40,1,198,,,
Gary Roenicke,R,75,205,0.247,121,1,199,,,
Don Lock,R,74,195,0.238,122,1,200,,,
Billy Cowan,R,72,170,0.236,40,1,201,,,
Billy Smith,B,74,185,0.23,17,1,202,,,
Allan Ramirez,R,70,180,0,0,1,203,,,
Tony Perez,R,74,175,0.279,379,1,204,,,
Chuck Schilling,R,70,160,0.239,23,1,205,,,
Hal McRae,R,71,180,0.29,191,1,206,,,
Dave Roberts,R,75,215,0.239,49,1,207,,,
Brian Allard,R,73,175,0,0,1,208,,,
Jim Lefebvre,B,72,180,0.251,74,1,209,,,
Fernando Arroyo,R,74,180,0,0,1,210,,,
Gary Beare,R,76,205,0,0,1,211,,,
Charlie Spikes,R,75,215,0.246,65,1,212,,,
Brian Dubois,L,70,165,0,0,1,213,,,
